id,id+,country,recency,frequency,monetary,r,f,m,fm,rfm_score,segment,ml_cluster,is_churned,churn_probability,churn_risk,customer_lifetime_value,average_order_value,days_since_first_purchase
186035892,AF186035892,AF,260,1,277.86,1,1,1,1,111,lost,0,1,1.00,High Risk,277.86,277.86,105
186035934,AF186035934,AF,225,1,184.62,1,1,1,1,111,lost,0,1,1.00,High Risk,184.62,184.62,140
1915092,AF1915092,AF,1,342,554097.30,5,5,5,5,555,champions,1,0,0.00,,189501276.60,1620.17,364
1915452,AF1915452,AF,169,6,2314.92,2,4,2,3,242,at risk,0,0,0.02,Low Risk,13889.52,385.82,196
1915920,AF1915920,AF,351,1,2238.60,1,1,2,1,112,lost,0,1,1.00,High Risk,2238.60,2238.60,14
1915944,AF1915944,AF,113,4,5524.44,2,3,3,3,233,at risk,1,0,0.01,Low Risk,22097.76,1381.11,252
1915962,AF1915962,AF,127,1,366.42,2,1,1,1,211,hibernating,1,0,0.01,Low Risk,366.42,366.42,238
1916052,AF1916052,AF,309,2,1205.22,1,2,2,2,122,lost,0,1,1.00,High Risk,2410.44,602.61,56
1916274,AF1916274,AF,162,1,582.60,2,1,1,1,211,hibernating,0,0,0.01,Low Risk,582.60,582.60,203
1916280,AF1916280,AF,78,11,5769.78,3,4,3,3,343,need attention,1,0,0.00,,63467.58,524.53,287
1916544,AF1916544,AF,190,1,2397.96,2,1,2,1,212,hibernating,0,1,0.99,High Risk,2397.96,2397.96,175
1916646,AF1916646,AF,295,1,579.54,1,1,1,1,111,lost,0,1,1.00,High Risk,579.54,579.54,70
1917144,AF1917144,AF,50,25,44647.32,4,5,5,5,455,loyal customers,1,0,0.00,,1116183.00,1785.89,315
1918074,AF1918074,AF,29,11,28572.66,4,4,5,4,445,loyal customers,1,0,0.00,,314299.26,2597.51,336
1918398,AF1918398,AF,78,1,1251.96,3,1,2,1,312,other,1,0,0.00,,1251.96,1251.96,287
1918626,AF1918626,AF,288,1,1205.22,1,1,2,1,112,lost,0,1,1.00,High Risk,1205.22,1205.22,77
1919070,AF1919070,AF,57,1,648.90,3,1,1,1,311,other,1,0,0.00,,648.90,648.90,308
1919676,AF1919676,AF,302,2,1237.08,1,2,2,2,122,lost,0,1,1.00,High Risk,2474.16,618.54,63
1919742,AF1919742,AF,330,2,3610.38,1,2,3,2,123,lost,0,1,1.00,High Risk,7220.76,1805.19,35
1919940,AF1919940,AF,113,2,1831.80,2,2,2,2,222,hibernating,1,0,0.01,Low Risk,3663.60,915.90,252
1919964,AF1919964,AF,29,14,11885.88,4,5,4,4,454,loyal customers,1,0,0.00,,166402.32,848.99,336
1920072,AF1920072,AF,316,1,1213.26,1,1,2,1,112,lost,0,1,1.00,High Risk,1213.26,1213.26,49
1920168,AF1920168,AF,113,1,129.42,2,1,1,1,211,hibernating,1,0,0.00,,129.42,129.42,252
1920588,AF1920588,AF,127,14,54324.96,2,5,5,5,255,at risk,1,0,0.03,Low Risk,760549.44,3880.35,238
1920624,AF1920624,AF,43,1,652.20,4,1,1,1,411,recent customers,1,0,0.00,,652.20,652.20,322
1920684,AF1920684,AF,127,1,5007.90,2,1,3,2,213,hibernating,1,0,0.01,Low Risk,5007.90,5007.90,238
1920972,AF1920972,AF,57,11,46001.16,3,4,5,4,345,can't lose,1,0,0.00,,506012.76,4181.92,308
1921068,AF1921068,AF,246,1,3404.76,1,1,3,2,113,lost,0,1,1.00,High Risk,3404.76,3404.76,119
1921788,AF1921788,AF,36,1,1213.26,4,1,2,1,412,recent customers,1,0,0.00,,1213.26,1213.26,329
1921830,AF1921830,AF,225,2,7992.66,1,2,4,3,124,lost,0,1,1.00,High Risk,15985.32,3996.33,140
1924914,AF1924914,AF,29,7,11791.50,4,4,4,4,444,loyal customers,1,0,0.00,,82540.50,1684.50,336
1926078,AF1926078,AF,71,2,7187.52,3,2,4,3,324,need attention,1,0,0.00,,14375.04,3593.76,294
1926096,AF1926096,AF,106,5,11642.28,3,4,4,4,344,can't lose,1,0,0.00,,58211.40,2328.46,259
1926276,AF1926276,AF,85,1,389.70,3,1,1,1,311,other,1,0,0.00,,389.70,389.70,280
1930734,AF1930734,AF,239,2,2410.44,1,2,2,2,122,lost,0,1,1.00,High Risk,4820.88,1205.22,126
